"name";"Poly-Pentosen";"Poly-Hexosen";"Poly-Uronsäure";"Cellulose";"Lignin";"Wasserlösliche Ballaststoffe";"Wasserunlösliche Ballaststoffe"
"Vollkornbrot mit Sonnenblumenkernen";887;425;2621;4219;427;3111;5469
"Schaf Muskelfleisch";0;0;0;0;0;0;0
"Rind Lunge frisch";0;0;0;0;0;0;0
"Pak Choi frisch";646;57;323;399;475;190;1710
"Champignon frisch";1158;20;832;0;20;386;1644
"Knoblauchwurst einfach";9;9;8;9;9;13;31
"Wurzelpetersilie frisch";1720;129;645;645;1161;1075;3225
"Apfel Fruchtsaft";0;0;0;0;0;0;0
"Beerenobst";300;100;90;160;150;112;688
"Pecannuss frisch";2838;946;1419;1892;2365;4730;4730
"Schweinefilet im Netz                   ";132;42;75;73;40;96;265
"Geflügelwiener Würstchen";36;28;29;34;34;48;113
"Spekulatius aus Mürbeteig";412;35;2013;674;138;1228;2044
"Mosaik-, Schachbrettpastete und andere";18;17;16;19;18;27;62
"Kresse frisch";1584;141;493;458;845;1480;2040
"Banane frisch";194;130;802;274;600;682;1318
"Rumpsteak (Zubereitung Großküche)";3;3;2;2;3;4;9
"Linsen reif frisch";3922;212;3710;1378;1378;4240;6360
"Oliven";354;118;708;1062;118;472;1888
"Müsli";1392;424;2885;2593;768;2302;5760
"Kokosflocken aus Fondant";338;45;1484;338;45;450;1800
"Gouda mind. 10% Fett i. Tr.";0;0;0;0;0;0;0
"Gelee einfach";0;0;0;0;0;0;0
"Tomatensoße italienisch (Zubereitung Großküche)";520;166;285;193;403;369;1198
"Kohlrabi frisch";600;75;225;300;300;495;1005
"Kokosnuss";1350;180;5940;1350;180;2100;6900
"Obstsalat süßsauer (Zubereitung Haushalt)";415;181;357;382;515;515;1334
"Kalbfleischsülze";1;1;1;4;1;3;5
"Salami ungarische Art";9;8;8;7;8;13;28
"Muffins mit Schokolade";670;3758;1126;806;334;618;6076
"Graubrot-Weizenmischbrot mit Sonnenblumenkernen";645;120;1872;1491;183;1797;2514
"Aprikose - Marille";231;77;77;693;462;710;830
"Schinkenroulade";16;5;51;16;6;36;58
"Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie)";503;7;502;142;282;437;999
"Brötchen-Roggenbrötchen mit Sonnenblumenkernen";973;188;2625;2135;139;2979;3081
"Leberwurst einfach";37;8;43;12;35;59;76
"Bohnen grün tiefgefroren gegart";1257;68;1190;442;442;1699;1699
"Vollkornbrot-Mehrkornvollkornbrot";847;409;2620;3921;431;2933;5296
"Kalbfleisch-Pastete";56;13;255;116;35;167;309
"Hausmacher Blutwurst Konserve";54;14;48;25;48;70;119
"Salzstangen";70;0;420;175;35;252;448
"Mozzarella";0;0;0;0;0;0;0
"Brathähnchen Leber frisch";0;0;0;0;0;0;0
"Rote Bete gegart";726;24;484;968;218;605;1815
"Agavendicksaft";0;0;0;0;0;100;100
"Shiitakepilz frisch";1117;20;804;0;20;373;1588
"Mortadella Konserve";35;15;104;35;16;76;130
"Marmelade";209;4;68;138;330;178;570
"Griechischer Joghurt";78,5;97,3;79,3;59,9;103,1;121,7;1003,3
"Rind Pökelfleisch gekocht ungeräuchert";0;0;0;0;0;0;0
"Schwein Nacken (Kamm) (fett) frisch gegart";0;0;0;0;0;0;0
"Hirsch Fleisch (mager) frisch";0;0;0;0;0;0;0
"Geflügelleberwurst";21;9;19;10;17;20;66
"Haselnusspastete mit Mürbeteig";303;88;360;271;240;472;790
"Joghurt 10% mit Früchten";39;1;48;58;722;35;833
"Geflügelbierwurst";27;17;19;22;23;32;75
"Schwarze Graupenwürstchen";139;41;513;394;83;255;915
"Tofu frisch";120;3;182;125;70;250;250
"Rotwein leicht";0;0;0;0;0;0;0
"Kürbiskern geröstet";1300;173;5723;1300;173;1734;6935
"Vollkornbrot mit Ölsamen";887;425;2621;4219;427;3111;5469
"Linsen reif gegart";1512;82;1431;532;532;1636;2453
"Bratwurst (nicht umgerötet)";13;7;8;10;11;15;35
"Amaranth roh";1209;744;4836;1023;1488;3441;5859
"Brühwurst feingekuttert (umgerötet)";12;11;10;12;11;18;39
"Avocado";0;0;0;0;0;0;4100
"Hirschsalami";10;10;9;9;11;14;35
"Cashewnuss geröstet und gesalzen";941;314;471;627;784;1569;1569
"Geflügelknackwurst";36;28;29;34;34;48;113
"Knacker einfach, Schüblinge einfach";10;9;9;9;10;14;33
"Kiwi";819;702;663;858;858;1084;2816
"Erbswurst";745;102;3229;737;111;1484;3441
"Schnittkäse aus Ziegenmilch (50% Fett i. Tr.)";0;0;0;0;0;0;0
"Milzwurst";20;9;13;11;12;21;44
"Deutsche Salami";13;13;11;16;13;20;45
"Haferkleieflocken";831;602;4515;3210;502;4950;5080
"Leinsamen";0;0;0;0;0;0;0
"Brötchen mit Sonnenblumenkernen";369;34;1798;938;172;1228;2083
"Sonnenblumenöl";0;0;0;0;0;0;0
"Geflügelmortadella gebraten (zubereitet ohne Fett)";27;25;24;28;27;38;90
"Zwieback";520;0;3120;1300;260;1872;3328
"Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie)";190;0;1141;475;95;684;1217
"Sonnenblumenkern roh";0;0;0;0;0;0;5800
"Macadamianuss roh";3429;1143;1715;2286;2858;209;11223
"Chicoree frisch";416;39;156;221;468;390;910
"Weiße Graupenwurst";149;51;589;457;88;287;1049
"Mortadella süddeutsch, Zungenwurst";35;19;86;36;21;70;127
"Hüttenkäse Halbfettstufe";0;0;0;0;0;0;0
"Kasseler gebraten im Backofen ohne Fett";0;0;0;0;0;0;0
"Whisky";0;0;0;0;0;0;0
"Margarine pflanzlich Linolsäure 30-50%";0;0;0;0;0;0;0
"Bohnen grün tiefgefroren";1220;66;1155;429;429;1649;1649
"Geflügelmortadella gekocht";32;30;28;34;32;46;110
"Studentenfutter mit Erdnüssen";2218;946;2148;1718;1752;3657;5125
"Corned Beef";0;0;0;0;0;0;0
"Brötchen-Roggenmischbrötchen";797;142;2210;1728;125;2367;2635
"Pfefferminztee (Getränk)";0;0;0;0;0;0;0
"Erbsen grün Konserve";1482;66;1089;495;165;198;3100
"Makrele roh Fischzuschnitt";0;0;0;0;0;0;0
"Kürbiscremesuppe (Zubereitung Haushalt)";206;26;336;98;118;263;521
"Linsen-Eintopf (Zubereitung Gastronomie)";851;35;803;301;416;833;1573
"Hafer Schrot";668;334;2507;1782;279;1671;3899
"Chilischote rot frisch";1149;503;431;251;1257;539;3052
"Saure Sahne";0;0;0;0;0;0;0
"Papaya gegart";399;342;323;418;418;790;1110
"Thunfisch Konserve in Öl, abgetropft";0;0;0;0;0;0;0
"Joghurt mit Magermilch angereichert teilentrahmt";0;0;0;0;0;0;0
"Zwiebelwurst";135;18;164;32;131;226;253
"Johannisbeere schwarz Konfitüre";719;533;466;163;624;140;2365
"Pökelwaren Pökelfleisch";0;0;0;0;0;0;0
"Pfälzer Saumagen";375;14;396;116;206;341;767
"Roggenfladenbrot";921;172;2516;1987;124;2838;2882
"Spitzpaprika grün";1149;503;431;251;1257;539;3052
"Fleischwurst Pariser";12;11;10;12;11;18;39
"Kalbsleberwurst grob";39;8;44;13;36;60;80
"Erdnuss roh";1300;1174;1761;2348;2935;1210;10528
"Apfelmus (Zubereitung Haushalt)";401;7;131;265;630;341;1093
"Buchweizenbrot";513;113;1701;1107;280;1298;2416
"Heidelbeere tiefgefroren";1023;2047;512;1023;512;1463;3654
"Schwein Schinken roh geräuchert (Lachsschinken)";0;0;0;0;0;0;0
"Graubrot-Roggenbrot mit Käse";896;167;2447;1933;121;2761;2804
"Blumenkohl tiefgefroren";1037;12;585;781;781;540;2678
"Dinkelbrötchen";505;213;1369;1896;286;967;3335
"Cocktailtomaten";360;234;156;130;325;220;730
"Käsespätzle (Zubereitung Haushalt)";120;1;631;256;69;396;680
"Knäckebrot-Roggenbrot";1466;274;4004;3162;197;4516;4586
"Gurkensalat mit Joghurt (Zubereitung Haushalt)";173;12;76;36;121;87;331
"Müsli-Riegel";949;383;1289;1004;728;1506;2846
"Schwein Rückenspeck";0;0;0;0;0;0;0
"Reisdrink";75;47,5;295;17,5;65;312,5;187,5
"Rostbratwurst";13;8;9;10;11;15;36
"Traubenzucker";0;0;0;0;0;0;0
"Mungobohnen reif";5543;300;5243;1947;1947;1798;13182
"Laugengebäck";353;9;2531;1092;118;1521;2582
"Rind Mark";0;0;0;0;0;0;0
"Erdbeerkonfitüre";122;37;112;168;298;262;475
"Brathähnchen Brustfilet gekocht";0;0;0;0;0;0;0
"Tiroler";12;10;10;11;12;20;36
"Tomatensoße aus frischen Tomaten (Zubereitung Haushalt)";109;43;154;75;75;105;351
"Rind Milz frisch";0;0;0;0;0;0;0
"Auberginenscheiben gebraten (Zubereitung Haushalt)";929;84;632;441;713;851;1949
"Getreideerzeugnisse Frühstückscerealien";1392;424;2885;2593;768;2302;5760
"Krakauer";14;12;12;15;14;20;46
"Grünkohl tiefgefroren";1566;138;783;967;1151;461;4145
"Aubergine frisch";987;85;564;423;761;846;1974
"Porree frisch";660;88;1056;110;286;506;1694
"Kidney-Bohnen Konserve gegart abgetropft";1980;107;1873;696;696;2676;2676
"Grapefruit frisch";116;29;87;174;174;196;384
"Banane";194;130;802;274;600;682;1318
"Stachelbeere frisch";1169;229;383;510;609;1044;1856
"Bohne weiß frisch gegart";2765;149;2614;971;971;3735;3735
"Hanfsamen";0;0;0;0;0;14850;14850
"Rum";0;0;0;0;0;0;0
"Käsekuchen aus Mürbeteig";105;28;486;223;67;309;601
"Gänseleberpastete";47;12;47;18;38;67;97
"Fleischwurst Konserve";12;10;10;11;12;17;38
"Tomatensalat mit Essigmarinade und Zwiebeln (Zubereitung Haushalt)";340;139;190;88;264;212;809
"Bratwurst (Zubereitung Haushalt)";13;8;9;11;12;16;38
"Touristenwurst einfach";11;11;10;12;11;17;38
"Buchweizen";481;296;1905;426;592;1591;2109
"Weizen Mehl Type 550";600;30;2205;910;105;1830;2267
"Thunfisch Konserve abgetropft";0;0;0;0;0;0;0
"Weißbrot-Weizenbrot";323;18;1701;799;157;1103;1895
"Rind Rücken (Roastbeef) (mager) frisch gegart";0;0;0;0;0;0;0
"Heidelbeere frisch";980;1960;490;980;490;1401;3499
"Mischgemüse gedünstet (Zubereitung Großküche)";1139;68;806;427;487;849;2078
"Rote Bete frisch";750;25;500;1000;225;625;1875
"Kapstachelbeere frisch";100;125;100;75;100;125;375
"Grünkern";1056;440;2640;4136;528;3300;5500
"Weiße Lyoner";12;11;9;12;11;17;37
"Weiße Bohnen in Tomatensoße (Zubereitung Haushalt)";1025;67;987;370;374;1375;1448
"Erdnuss geröstet";2274;758;1137;1516;1895;3790;3790
"Brötchen-Roggenbrötchen";974;182;2660;2100;131;3000;3047
"Endivien frisch";390;37;146;207;440;293;927
"Thüringer Rotwurst Konserve";27;1;35;4;26;46;48
"Leinöl";0;0;0;0;0;0;0
"Basmatireis ungekocht";335;212;1315;79;290;1096;1134
"Leberwurst grob";39;8;43;13;36;60;80
"Rote Bete Gemüsesaft";78;3;52;104;23;65;195
"Kolbacz";18;18;17;19;18;27;63
"Hefezopf aus Hefeteig fettarm";328;147;1220;619;238;831;1721
"Johannisbeere schwarz frisch";1952;1448;1265;442;1693;381;6419
"Fischstäbchen (Zubereitung Haushalt)";91;0;546;227;45;327;581
"Eisbergsalat frisch";576;54;216;306;648;414;1386
"Geflügelsalami fettarm";19;16;15;19;18;28;57
"Gesülzter Hackbraten";2;0;1;1;3;1;6
"Pizza margherita (Zubereitung Gastronomie)";307;27;1580;695;171;1006;1773
"Graubrot-Weizenmischbrot mit Sauermilch";629;111;1867;1424;177;1759;2448
"Preiselbeere Konfitüre";214;320;107;160;267;267;801
"Tomatensuppe (Zubereitung Haushalt)";114;52;96;53;79;68;326
"Gerste Graupen";463;139;2129;1667;232;926;3704
"Kräutertee (Getränk)";0;0;0;0;0;0;0
"Kalb Muskelfleisch";0;0;0;0;0;0;0
"Vollkornmehl";1800;500;3000;4000;700;2500;7500
"Grünkern Schrot";1056;440;2640;4136;528;3388;5412
"Oliven schwarz";570;190;1140;1710;190;760;3040
"Geflügelwiener Würstchen erwärmt";39;30;32;37;37;52;123
"Jagdwurst (Süddeutsche und Norddeutsche)";14;12;12;13;13;20;46
"Margarine";0;0;0;0;0;0;0
"Sauerkraut Konserve abgetropft";1664;233;434;532;465;1330;1996
"Grünkohl frisch gegart";1169;103;584;722;859;344;3094
"Französische Schweinefleisch-Terrine";118;23;64;54;63;90;232
"Cabanossi";23;23;21;25;23;35;81
"Couscous gekocht";499;139;829;1107;195;843;1927
"Butterkäse";0;0;0;0;0;0;0
"Rind Fett";0;0;0;0;0;0;0
"Orange, Apfelsine";440;330;330;440;660;825;1375
"Sojaeiweiß texturiert (""Sojafleisch"")";3984;83;6059;4150;2324;8300;8300
"Wollwurst, Geschwollene";13;7;8;10;11;15;35
"Lachs frisch";0;0;0;0;0;0;0
"Bierschinken Konserve";9;5;5;6;6;9;22
"Bauernleberwurst";20;12;14;15;17;23;55
"Fleischkäse im Teigmantel";92;20;336;156;41;220;424
"Bratwurst geräuchert";8;8;12;10;8;14;31
"Milchschokolade Vollmilch-Nuß";622;3438;573;589;344;387;5179
"Basmatireis gekocht";92;58;359;21;79;300;310
"Vollkornteigwaren";2070;575;3450;4600;805;2875;8625
"Brie";0;0;0;0;0;0;0
"Pistazie geröstet und gesalzen";897;120;3946;897;120;2392;3588
"Magerquark";0;0;0;0;0;0;0
"Pistazie geröstet";915;122;4026;915;122;2440;3660
"Milchspeiseeis Vanille";0;0;0;0;0;0;0
"Rindergulasch ""deutsche Art"" (Zubereitung Haushalt)";255;75;287;101;246;406;558
"Zwiebelleberwurst einfach";37;8;43;12;35;59;76
"Spinat tiefgefroren gegart";1247;155;468;468;780;780;2338
"Waldpilze";4326;76;3112;0;76;1442;6148
"Rind Steak (mager) frisch gegart";0;0;0;0;0;0;0
"Leberwurst Aachener Frankfurter";54;10;43;23;46;64;112
"Kidney-Bohnen";7881;426;7455;2769;2769;10650;10650
"Milchspeiseeis";0;0;0;0;0;0;0
"Dinkelvollkornbrötchen";690;291;1839;2616;381;967;4916
"Grahambrötchen";428;51;1815;1029;197;1222;2298
"Sojabohnen reif frisch gegart";2762;149;2613;971;971;3733;3733
"Schokoladenpudding mit Vanillesoße (Zubereitung Großküche)";67;369;56;58;38;41;547
"Kaffee mit Milch und Zucker (Getränk)";0;0;0;0;0;0;0
"Maultaschen ""schwäbisch"" (Zubereitung Haushalt)";268;29;601;285;151;441;894
"Teigwaren aus Hartgrieß";510;0;3060;1275;255;1836;3264
"Leberwurst fein";37;8;41;12;34;57;75
"Margarine halbfett Linolsäure <30%";0;0;0;0;0;0;0
"Semmelbrösel";530;0;3180;1325;265;1908;3392
"Linsen gekeimt frisch";1127;61;1068;397;397;1525;1525
"Tahini aus rohem Sesam";750;250;1500;2250;250;600;4400
"Edelkastanien (Marone) gegart";1318;175;5796;1318;175;378;8404
"Gemüsepaprika grün frisch";1149;503;431;251;1257;539;3052
"Vollkornbrötchen mit Sonnenblumenkernen";1180;330;1994;2664;459;1714;4912
"Wurstkuchen mit Mürbeteig";93;9;507;217;52;314;565
"Meerrettich frisch";3000;225;1125;1125;2025;1875;5625
"Pommes frites mit Mayonnaise";409;0;431;117;209;350;816
"Vollkornbrot-Weizen, Roggenvollkornschrottoastbrot";1058;376;2355;3352;464;2416;5190
"Heidelbeere Konfitüre";361;721;181;361;181;516;1289
"Linsensuppe (Zubereitung Haushalt)";608;32;554;222;278;598;1096
"Gorgonzola";0;0;0;0;0;0;0
"Miso";2520;53;3832;2625;1470;5250;5250
"Brühwurst mit Fleischeinlage (nicht umgerötet)";20;9;13;11;12;21;44
"Geflügelmortadella fettarm";25;23;22;26;25;35;83
"Schweinebauch in Aspik";5;0;1;0;1;1;5
"Linsen reif Konserve";975;53;923;343;343;1055;1582
"Trüffelmosaikpastete";18;17;16;19;18;27;62
"Frikadelle (Zubereitung Großküche)";80;5;221;84;62;187;265
"Mais";3588;276;2760;1840;736;2300;6900
"Dosenschinken";0;0;0;0;0;0;0
"Champignonpastete";135;13;99;13;15;59;216
"Kichererbsen";1980;88;1452;660;220;264;4136
"Sardine Konserve in Öl, abgetropft";0;0;0;0;0;0;0
"Eierpastete";41;17;104;36;24;76;145
"Pflaumen frisch";248;323;141;170;818;721;979
"Gurke";227;16;97;43;157;108;432
"Landjäger Würste";3;3;8;5;3;7;15
"Rotkohl Konserve gegart";854;22;338;606;427;807;1437
"Buschbohnen grün frisch";1110;60;1050;390;390;1500;1500
"Plockwurst";13;13;11;14;13;20;44
"Rote Rübe frisch";750;25;500;1000;225;625;1875
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";37;0;225;94;19;135;240
"Leinsamen geschrotet";0;0;0;0;0;0;0
"Lebkuchenteigbackwaren";835;106;3288;775;163;2032;3135
"Champignonpastete mit Mürbeteig";183;2;398;126;28;225;510
"Schweinegrillschnitten                   ";93;31;62;58;78;97;225
"Schwein Filet (mager) frisch";0;0;0;0;0;0;0
"Filetblutwurst";12;1;15;2;12;21;22
"Hanfnussöl";0;0;0;0;0;0;0
"Apfel-Streuselkuchen aus Mürbeteig fettreich";460;1;464;396;439;682;1077
"Hühnerei Vollei";0;0;0;0;0;0;0
"Sardine Konserve abgetropft";0;0;0;0;0;0;0
"Cervelatwurst";13;13;12;14;13;19;46
"Kalbfleischwurst";8;6;7;7;7;11;25
"Hirse roh";507;312;2028;429;624;1400;2500
"Eisbergsalat";576;54;216;306;648;414;1386
"Petersilienblatt frisch";1657;595;850;850;298;1063;3188
"Mandelmus";225;30;990;225;30;600;900
"Paranuss";2430;810;1215;1620;2025;1620;6480
"Zander tiefgefroren";0;0;0;0;0;0;0
"Brie Vollfettstufe";0;0;0;0;0;0;0
"Erdnussbutter, -mus";2280;760;1140;1520;1900;3800;3800
"Fenchel";600;40;700;100;560;500;1500
"Lamm Leber roh";0;0;0;0;0;0;0
"Quark";0;0;0;0;0;0;0
"Apfelkuchen aus Rührmasse";391;2;466;363;369;613;977
"Kuhmilch Trinkmilch fettarm";0;0;0;0;0;0;0
"Puderzucker";0;0;0;0;0;0;0
"Brathähnchen Schenkel roh";0;0;0;0;0;0;0
"Pökelwaren Eisbein";0;0;0;0;0;0;0
"Granatapfel frisch";448;493;448;403;448;260;1980
"Dinkelbrot (Vollkornbrot)";523;221;1417;1963;296;1001;3452
"Distelöl (Safloröl)";0;0;0;0;0;0;0
"Pute frisch";0;0;0;0;0;0;0
"Chinakohl frisch gegart";636;56;318;392;467;187;1682
"Bleichsellerie Gemüsesaft";117;10;37;34;63;65;196
"Zwetschge Konfitüre";124;161;70;85;407;359;488
"Hering frisch Fischzuschnitt";0;0;0;0;0;0;0
"Erbsen grün tiefgefroren gegart";2465;110;1809;822;274;328;5152
"Milchreis (Zubereitung Gastronomie)";41;26;160;10;36;171;102
"Reisbrot";500;106;1650;1057;242;1307;2248
"Weizenkeimöl";0;0;0;0;0;0;0
"Pinienkern";1080;144;4752;1080;144;1440;5760
"Dattel frisch";1740;2175;1740;1305;1740;1610;7091
"Hirse Korn geschält roh";507;312;2028;429;624;1400;2500
"Edelkastanien (Maronen) geröstet";1151;153;5063;1151;153;330;7341
"Tee grün (Getränk)";0;0;0;0;0;0;0
"Schlackwurst";9;9;8;8;10;13;31
"Brathähnchen Brustfilet gebraten (zubereitet ohne Fett)";0;0;0;0;0;0;0
"Graubrot-Roggenmischbrot mit Sonnenblumenkernen";761;142;2078;1685;127;2248;2546
"Wassermelone roh";48;48;26;48;48;20;200
"Knäckebrot-Roggenmischbrot mit Leinsamen";1501;324;3877;3556;300;4614;4947
"Rind Niere frisch";0;0;0;0;0;0;0
"Porree frisch gegart";686;92;1099;114;297;526;1762
"Kartoffeln ungeschält roh";431;0;455;123;221;369;861
"Haselnuss geröstet";0;0;0;0;0;0;7005
"Dattel";1740;2175;1740;1305;1740;1610;7091
"Kümmelwurst Rohwurst";3;2;6;3;2;5;11
"Thüringer Rotwurst";11;1;15;2;11;19;21
"Mandeldrink ungesüßt";20;2,4;89,3;27,9;176,9;36,9;263,1
"Reis Kleie";1800;1140;7080;420;1560;7500;4500
"Kartoffelsuppe (Zubereitung Haushalt)";279;3;328;108;155;278;595
"Buchweizenvollkornbrot";889;280;1713;1853;429;1437;3727
"Burgunder Schinken in Aspik";23;8;10;10;4;14;42
"Sesam geröstet";1526;508;3050;4576;508;2928;7239
"Zungenpreßkopf";23;11;30;16;19;36;63
"Preßköpfe";18;15;15;17;17;24;58
"Kasseler Kamm roh geräuchert";0;0;0;0;0;0;0
"Glühwein";19;2;8;8;14;13;38
"Walnussöl";0;0;0;0;0;0;0
"Kokosnuss Mehl";0;0;0;0;0;0;35000
"Fladenbrote";323;18;1701;799;157;1103;1895
"Graubrot mit Käse";732;130;2030;1588;115;2175;2421
"Schinkenpreßkopf";14;11;16;14;12;22;45
"Graubrot-Roggentoastbrot";960;192;2676;2108;166;3028;3075
"Hirse Flocken";507;312;2028;429;624;1400;2500
"Frühstücksfleisch";20;19;18;21;20;29;69
"Moosbeere frisch";760;1140;380;570;950;950;2850
"Saure Sahne 20 % Fett";0;0;0;0;0;0;0
"Olivenpastete";143;55;270;401;56;191;734
"Cabanossi (Brühwurst)";22;21;20;22;22;33;76
"Gemüsepaprika rot";1149;503;431;251;1257;539;3052
"Lasagne al forno (Zubereitung Gastronomie)";136;11;297;143;94;225;456
"Straßburger Gänseleberwurst";22;9;23;11;21;33;53
"Joghurt teilentrahmt";0;0;0;0;0;0;0
"Garnele frisch";0;0;0;0;0;0;0
"Brühwurst";21;19;19;22;20;31;71
"Spitzpaprika rot";1149;503;431;251;1257;539;3052
"Zungenwurst hell";33;18;80;34;20;66;120
"Kaffee mit Kondensmilch und Zucker (Getränk)";0;0;0;0;0;0;0
"Rinderbierschinken";11;6;6;7;7;11;26
"Geflügelfleischkäse gekocht";34;22;26;29;30;41;98
"Hafer Vollkornflocken";831;602;4515;3210;502;4950;5080
"Zuckermelone - Honigmelone";153;131;124;161;161;190;540
"Füllung für Spanferkel";335;11;338;104;193;307;674
"Getrüffelte Zungenpastete";471;11;550;103;30;291;874
"Gurke frisch";227;16;97;43;157;108;432
"Casein";0;0;0;0;0;0;0
"Schwein Speck und Schinken";0;0;0;0;0;0;0
"Makrele geräuchert";0;0;0;0;0;0;0
"Zungenblutwurst";32;11;38;14;32;54;73
"Lupinenmehl";4425;590;19470;4425;590;8850;20650
